class_hex,popcount,cluster_size,id_a,id_b,role_a,role_b
0x00288255,8,5,0x012484d2,0x0434ce72,,
0x00288255,8,5,0x04dce858,0x44d6c8cd,,
0x00288255,8,5,0x401106da,0x40400270,,
0x00288255,8,5,0x5821c242,0x5870c6e8,,
0x002a0c21,7,5,0x082e03d8,0x222222d8,,
0x002a0c21,7,5,0x88783718,0x98f8221e,,
0x002a0c21,7,5,0x93043811,0xd2801814,,
0x002a0c21,7,5,0xb69c8356,0xb7cce25e,,
0x002a0c21,7,5,0xc89e9158,0xd89c319a,,
0x00421c41,7,5,0x0434ce72,0x83248e62,,
0x00421c41,7,5,0x0478a37a,0x2470e0f2,,
0x00421c41,7,5,0x04dce858,0x25d2c8d8,,
0x00421c41,7,5,0x401106da,0x486002db,,
0x00421c41,7,5,0x5050c643,0x5821c242,,
0x03061893,10,5,0x001822d8,0x1828e640,,
0x03061893,10,5,0x081c8302,0x0e041001,,
0x03061893,10,5,0x401106da,0x5821c242,,
0x03061893,10,5,0x40400270,0x5870c6e8,,
0x03061893,10,5,0x486002db,0x5050c643,,
0x05a6854f,14,5,0x408a1c10,0xb0d07444,,
0x05a6854f,14,5,0x40da1c10,0xb0807444,,
0x05a6854f,14,5,0x40ea1c10,0xb0b07444,,
0x05a6854f,14,5,0x41ca1c10,0xb1907444,,
0x05a6854f,14,5,0x42ca1c10,0xb2907444,,
0x00000183,4,4,0x10b95a10,0x10b95c1c,,
0x00000183,4,4,0x10b95a1c,0x10b95c10,,
0x00000183,4,4,0x40c21c10,0x40da2c10,,
0x00000183,4,4,0x40c22c10,0x40da1c10,,
0x00000283,4,4,0x10b95010,0x10b95a1c,,
0x00000283,4,4,0x10b9501c,0x10b95a10,,
0x00000283,4,4,0x40c21c10,0x40ea2c10,,
0x00000283,4,4,0x40c22c10,0x40ea1c10,,
