id_hex,tokenA,tokenB,full,score,visual_label
0x085c8300,NIKKO,MOZART,NIKKOMOZART,0,
0x085c8300,SIRKI,CHEERO,SIRKICHEERO,0,
0x085c8300,YIKES,REMOVE,YIKESREMOVE,0,
0x08814c64,PUMPET,PIAZZA,PUMPETPIAZZA,0,
0x088c5011,ASNORT,ACHOO,ASNORTACHOO,0,
0x088c5011,BANG,CYCLO,BANGCYCLO,0,
0x088c5011,BANNS,MUCLUC,BANNSMUCLUC,0,
0x088c5011,BATAN,LIKNON,BATANLIKNON,0,
0x088c5011,BEJANT,SPACE,BEJANTSPACE,0,
0x088c5011,BOCCA,CERN,BOCCACERN,0,
0x088c5011,BOCKS,EDDY,BOCKSEDDY,0,
0x088c5011,BOOTLE,RAMMI,BOOTLERAMMI,0,
0x088c5011,BOOTY,JAUNER,BOOTYJAUNER,0,
0x088c5011,BOUN,CANLI,BOUNCANLI,0,
0x088c5011,BRIZA,EUDEVE,BRIZAEUDEVE,0,
0x088c5011,BROCK,RUCKLE,BROCKRUCKLE,0,
0x088c5011,BROMA,AEACUS,BROMAAEACUS,0,
0x088c5011,BUBBY,DALLAS,BUBBYDALLAS,0,
0x088c5011,BUCAYO,OHING,BUCAYOOHING,0,
0x088c5011,BUDDY,GRAB,BUDDYGRAB,0,
0x088c5011,BUZANE,OGEES,BUZANEOGEES,0,
0x088c5011,BYPLAY,APIIN,BYPLAYAPIIN,0,
0x088c5011,CAPONS,NIGUA,CAPONSNIGUA,0,
0x088c5011,CIVVY,COIFED,CIVVYCOIFED,0,
0x088c5011,DEIFY,SPUNKY,DEIFYSPUNKY,0,
0x088c5011,HIRES,GROUZE,HIRESGROUZE,0,
0x088c5011,INFER,DETAIN,INFERDETAIN,0,
0x088c5011,JESUS,GAITED,JESUSGAITED,0,
0x088c5011,LIBATE,CAMPI,LIBATECAMPI,0,
0x088c5011,QAF,JUDY,QAFJUDY,0,
0x088c5011,REALMS,WYN,REALMSWYN,0,
0x088c5011,REAPS,AFFICH,REAPSAFFICH,0,
0x088c5011,REAPS,GOWL,REAPSGOWL,0,
0x088c5011,REAPS,HEZRON,REAPSHEZRON,0,
0x088c5011,REAP,ZYMIC,REAPZYMIC,0,
0x088c5011,REDDY,JOCK,REDDYJOCK,0,
0x088c5011,REDIAS,MONOS,REDIASMONOS,0,
0x088c5011,REDIP,NANGKA,REDIPNANGKA,0,
0x088c5011,REDIP,NOGAKU,REDIPNOGAKU,0,
0x088c5011,REDOES,HEEDY,REDOESHEEDY,0,
0x088c5011,REFIRE,TUNNY,REFIRETUNNY,0,
0x088c5011,REOIL,TENDRY,REOILTENDRY,0,
0x088c5011,REOIL,TENOUR,REOILTENOUR,0,
0x088c5011,RIG,OCCULT,RIGOCCULT,0,
0x088c5011,RIVEL,TULASI,RIVELTULASI,0,
0x088c5011,RUMBLE,PAYEE,RUMBLEPAYEE,0,
0x088c5011,SECERN,BOBAC,SECERNBOBAC,0,
0x088c5011,SHAVEE,WORDY,SHAVEEWORDY,0,
0x088c5011,TAMPED,VOUCH,TAMPEDVOUCH,0,
0x088c5011,THUG,DVIGU,THUGDVIGU,0,
0x088c5011,TIZZY,SEPION,TIZZYSEPION,0,
0x088c5011,TOUCH,NAPU,TOUCHNAPU,0,
0x088c5011,TSKED,GOGO,TSKEDGOGO,0,
0x088c5011,TUNKET,NOYAU,TUNKETNOYAU,0,
0x088c5011,TURNIP,OSSAL,TURNIPOSSAL,0,
0x088c5011,VARIFY,CUMLY,VARIFYCUMLY,0,
0x088c5011,WACHNA,PRO,WACHNAPRO,0,
0x088c5011,WATFIV,HIRES,WATFIVHIRES,0,
0x088c5011,WAUNER,POOTY,WAUNERPOOTY,0,
0x088c5011,WHUD,GRAPY,WHUDGRAPY,0,
0x08ba0250,SEARCH,DAWSON,SEARCHDAWSON,0,
0x08bc8013,BLEEZE,BULAK,BLEEZEBULAK,0,
0x08bc8013,BUCARE,TRUFF,BUCARETRUFF,0,
0x08bc8013,BUGHT,ACTAEA,BUGHTACTAEA,0,
0x08bc8013,BUTOXY,HECKS,BUTOXYHECKS,0,
0x08bc8013,ENEMAS,YECHY,ENEMASYECHY,0,
0x08bc8013,FLECHE,LEANT,FLECHELEANT,0,
0x08bc8013,FLEDGE,LEANS,FLEDGELEANS,0,
0x08bc8013,FLEDGE,LEORA,FLEDGELEORA,0,
0x08bc8013,FRAYED,GELTS,FRAYEDGELTS,0,
0x08bc8013,GLEAM,LEDGES,GLEAMLEDGES,0,
0x08bc8013,RAGA,GUANS,RAGAGUANS,0,
0x08bc8013,RILLOW,ALAPA,RILLOWALAPA,0,
0x08bc8013,SECERN,BUBAL,SECERNBUBAL,0,
0x08bc8013,SENARY,EDGES,SENARYEDGES,0,
0x08bc8013,SENSU,DECAST,SENSUDECAST,0,
0x08bc8013,SOPE,CAKRA,SOPECAKRA,0,
0x08bc8013,STRIPE,ABAKA,STRIPEABAKA,0,
0x08bc8013,STRIPE,ANASA,STRIPEANASA,0,
0x08bc8013,STRIPE,ANTAL,STRIPEANTAL,0,
0x08bc8013,STRIPT,TALPA,STRIPTTALPA,0,
0x08bc8013,WANTY,HGWY,WANTYHGWY,0,
0x08de7215,BLIZZ,ISOBAR,BLIZZISOBAR,0,
0x08de7215,BOGAN,OPHION,BOGANOPHION,0,
0x08de7215,BOTTU,HANSOM,BOTTUHANSOM,0,
0x08de7215,BRUMBY,FREYR,BRUMBYFREYR,0,
0x08de7215,NIZEY,SERVED,NIZEYSERVED,0,
0x08de7215,REPOLL,CABDA,REPOLLCABDA,0,
0x09ce0610,REWOVE,MONTY,REWOVEMONTY,0,
0x09ce0610,VORAZ,BIRSLE,VORAZBIRSLE,0,
0x0a08c490,IODID,UNFITS,IODIDUNFITS,0,
0x0a08c490,LOCOES,HUMID,LOCOESHUMID,0,
0x0a08c490,MOIST,ROUPIT,MOISTROUPIT,0,
0x0a1820d4,BETAIN,ETHERS,BETAINETHERS,0,
0x0a1820d4,GUINEA,BYWARD,GUINEABYWARD,0,
0x0a1820d4,SORELS,CAPRID,SORELSCAPRID,0,
0x0a409040,ADLAY,SCRIMY,ADLAYSCRIMY,0,
0x0a409040,ADLAY,SCROGS,ADLAYSCROGS,0,
0x0a409040,BISSO,RAIDED,BISSORAIDED,0,
0x0a409040,BISTRE,SHORL,BISTRESHORL,0,
0x0a409040,BISTRE,SUSAN,BISTRESUSAN,0,
0x0a409040,BOLLS,ANGARY,BOLLSANGARY,0,
0x0a409040,BOOKS,BEMAIM,BOOKSBEMAIM,0,
0x0a409040,BOXEN,OSPERM,BOXENOSPERM,0,
0x0a409040,IKHWAN,CLAYS,IKHWANCLAYS,0,
0x0a409040,ISOGAM,BOMBE,ISOGAMBOMBE,0,
0x0a409040,PAZEND,PARDS,PAZENDPARDS,0,
0x0a409040,PLINKS,AWBER,PLINKSAWBER,0,
0x0a409040,RAZOO,SOUGHT,RAZOOSOUGHT,0,
0x0a409040,SIMPLY,SAPIN,SIMPLYSAPIN,0,
0x0a409040,SOCKY,GLOSSA,SOCKYGLOSSA,0,
0x0a409040,SOOTER,MATTY,SOOTERMATTY,0,
0x0a409040,SOOTER,MILLA,SOOTERMILLA,0,
0x0a409040,THINK,SAYING,THINKSAYING,0,
0x0aa18900,PUNGA,NILOUS,PUNGANILOUS,0,
0x0aa18900,SHRUPS,DUREE,SHRUPSDUREE,0,
0x0aabc010,BASOS,BAWLER,BASOSBAWLER,0,
