id_hex,n_candidates,candidates,popcount,kinds
0x40b48011,42,2XRAGAMOBIA;512HATBRUSH;51HHATBRUSH;5G2HATBRUSH;5GHHATBRUSH;BY4RISPOSTA;BYJRISPOSTA;CP1HUBBER;CPGHUBBER;CXWAMBUBA;HXRAGAMOBIA;K12HATBRUSH;K1HHATBRUSH;KG2HATBRUSH;KGHHATBRUSH;R1AASTATINE;R1AHORNFISH;RGAASTATINE;RGAHORNFISH;RY9HATBRUSH,8,sprite|anim
0x40c0d0e4,8,3Z9PEDATELY;3ZOPEDATELY;C03PEDATELY;C0IPEDATELY;CF3PEDATELY;CFIPEDATELY;IZ9PEDATELY;IZOPEDATELY,10,audio
0x40c21c10,2,9QPCORONADO;OQPCORONADO,8,sprite|anim
0x40c22c10,80,13CTOMBOLOS;1ICTOMBOLOS;5WAPROLOGUE;914EKABORON;917BOLSON;91JEKABORON;91MBOLSON;99BENANTHEM;9G4EKABORON;9G7BOLSON;9GJEKABORON;9GMBOLSON;9OBENANTHEM;9STOOCYSTIS;AR9MASSOOLA;AROMASSOOLA;B3XPROLOGUE;B71OOCYSTIS;B7GOOCYSTIS;B8SPROLOG,8,sprite|anim
0x40e28045,37,34PHURDLES;3B5LESIONS;3BKLESIONS;3JPHURDLES;3QQGAMBADO;521HASSING;52GHASSING;593FIDLEYS;59IFIDLEYS;5H1HASSING;5HGHASSING;5O3FIDLEYS;5OIFIDLEYS;BXYMIMMOUD;I4PHURDLES;IB5LESIONS;IBKLESIONS;IJPHURDLES;IQQGAMBADO;K21HASSING,9,audio
0x44c26454,2,1XAEQUINAL;GXAEQUINAL,11,audio
0x48017101,64,36ESOFRONIA;3LESOFRONIA;3SXFARMHAND;3U9NAUCORID;3UONAUCORID;44URANCHMAN;4JURANCHMAN;718ORFRAY;71NORFRAY;78ZMANCUS;79DTAMANOIR;7G8ORFRAY;7GNORFRAY;7NZMANCUS;7ODTAMANOIR;7WWGOSPORTS;9BCGROSSART;B9XRAPHANIA;BOXRAPHANIA;D38GOSPORTS,8,audio
0x48204012,33,352IMPACTOR;35HIMPACTOR;3K2IMPACTOR;3KHIMPACTOR;3SVPROBATOR;96WPROBATUM;9LWPROBATUM;BSPANOREXIA;CYRDISWORTH;EWVASTYANAX;I52IMPACTOR;I5HIMPACTOR;IK2IMPACTOR;IKHIMPACTOR;ISVPROBATOR;O6WPROBATUM;OLWPROBATUM;R22ABANGA;R2HABANGA;R2TMARTABAN,6,sprite|anim
0x4824c0c5,15,1SXPILLIONS;333GEDANITE;33IGEDANITE;3I3GEDANITE;3IIGEDANITE;GSXPILLIONS;I33GEDANITE;I3IGEDANITE;II3GEDANITE;IIIGEDANITE;RWRGEDANITE;Z75PILLIONS;Z7KPILLIONS;ZM5PILLIONS;ZMKPILLIONS,10,audio
0x4860c074,38,1C2SUBFIX;1CHSUBFIX;1SXSEAWAY;5WESIGRIM;BA9SEROCYST;BAOSEROCYST;C2WCERVUS;C92KERFED;C9HKERFED;CBBUNHUSHED;CD5SUBAMARE;CDKSUBAMARE;CHWCERVUS;CO2KERFED;COHKERFED;CWPRIMPED;E72MISGROWN;E7HMISGROWN;EM2MISGROWN;EMHMISGROWN,10,audio
0x48ca1c10,7,93XCORONADO;9IXCORONADO;C7RPARLEYED;CMRPARLEYED;O3XCORONADO;OIXCORONADO;XWACORONADO,10,sprite|anim
0x48d81135,1,QCSFLYPAPER,12,sprite|anim
0x4a4ec094,2,R6DUNGLOOMY;RLDUNGLOOMY,12,sprite
0x4a806042,30,0CRJONAHS;3BXBONDUC;3ZBOGGISH;5P2BACTERIA;5PHBACTERIA;692BACKWARD;69HBACKWARD;6O2BACKWARD;6OHBACKWARD;CDWGAULDING;CT1GROUPING;CTGGROUPING;CXPRAGOUTED;E9UYAXCHE;EAUNUMINA;EAUPINGUE;EDBINDUCE;EDUEXTENDED;EOUYAXCHE;FCRJONAHS,8,audio
0x4c60f249,18,5T9TOREROS;5TOTOREROS;88CCANZONA;8NCCANZONA;8QCANZONAS;BXTCREASOT;CWBMETONIC;KT9TOREROS;KTOTOREROS;N8CCANZONA;NNCCANZONA;NQCANZONAS;Z26CREASOT;Z2LCREASOT;Z3YMETONIC;ZH6CREASOT;ZHLCREASOT;ZIYMETONIC,13,audio
0x5862f614,6,8SYMUSSABLE;A76MUSSABLE;A7LMUSSABLE;AM6MUSSABLE;AMLMUSSABLE;NSYMUSSABLE,14,audio
0x5d40a249,3,3BVMELITAEA;CEWTIMBRELS;IBVMELITAEA,12,audio
0x606c8061,16,C92QUINARII;C92QUINSIED;C9HQUINARII;C9HQUINSIED;CO2QUINARII;CO2QUINSIED;COHQUINARII;COHQUINSIED;R41WOORALIS;R4GWOORALIS;RJ1WOORALIS;RJGWOORALIS;RQWQUINARII;RQWQUINSIED;XB0SWALLOWS;XBFSWALLOWS,10,audio
0x6082c120,128,32RNORSELER;32RSERENELY;3AVCONVERSE;3AYSERENE;3DVGLOVER;3HRNORSELER;3HRSERENELY;3VDSTUNNERS;3WCGLOVEMEN;3XBSERENADE;3Z9SEPSIDAE;3ZOSEPSIDAE;3ZSEOCENE;469CADENCES;46OCADENCES;4C3ENZONE;4CIENZONE;4L9CADENCES;4LOCADENCES;4Q2SODDEN,8,audio
0x61841021,1,QCVMISPOINT,8,audio
0x62000441,2,CY9SUALOCIN;CYOSUALOCIN,6,audio
0x620ec210,1,VECBREAMING,10,sprite
0x682080cd,4,2A3ATTAGHAN;2AIATTAGHAN;HA3ATTAGHAN;HAIATTAGHAN,10,audio
