id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x42590440,1113130048,audio,8,5,1,0,0,1,1,1,0,1
0x425a399c,1113209244,sprite|anim,14,8,1,1,1,1,1,1,1,1
0x4260c8b5,1113639093,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x428254e2,1115837666,audio,11,8,1,1,1,1,1,1,1,1
0x428a6465,1116365925,audio,12,8,1,1,1,1,1,1,1,1
0x42906465,1116759141,audio,11,8,1,1,1,1,1,1,1,1
0x42c11270,1119949424,audio,10,6,1,0,0,1,1,1,1,1
0x42ca1c10,1120541712,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x43234444,1126384708,audio,10,6,1,0,0,1,1,1,1,1
0x4348b052,1128837202,audio,11,8,1,1,1,1,1,1,1,1
0x4428c941,1143523649,audio,10,8,1,1,1,1,1,1,1,1
0x44c26454,1153590356,audio,11,8,1,1,1,1,1,1,1,1
0x44ca1c10,1154096144,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x44d4c8d8,1154795736,audio,13,8,1,1,1,1,1,1,1,1
0x44d6c8cd,1154926797,audio,15,6,1,0,0,1,1,1,1,1
0x45310a04,1160841732,audio,9,8,1,1,1,1,1,1,1,1
0x458b0320,1166738208,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x46064232,1174815282,sprite,10,1,0,0,0,0,1,0,0,0
0x46269090,1176932496,sprite,10,4,1,0,0,1,0,0,1,1
0x462c6040,1177313344,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x462cb03b,1177333819,sprite,14,1,0,0,0,0,0,1,0,0
0x46346040,1177837632,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x46386040,1178099776,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x463e6040,1178492992,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x48017101,1208054017,audio,8,6,1,0,0,1,1,1,1,1
0x48204012,1210073106,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x48209640,1210095168,audio,8,6,1,0,0,1,1,1,1,1
0x4824c0c5,1210368197,audio,10,8,1,1,1,1,1,1,1,1
0x486002db,1214251739,audio,11,8,1,1,1,1,1,1,1,1
0x48608484,1214284932,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x4860c074,1214300276,audio,10,6,1,0,0,1,1,1,1,1
0x486492c4,1214550724,audio,11,6,1,0,0,1,1,1,1,1
0x48ca1c10,1221205008,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x48d81135,1222119733,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x48f843d4,1224229844,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x49289c14,1227398164,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x492c8430,1227654192,sprite,10,4,1,0,0,1,0,0,1,1
0x49609640,1231066688,audio,10,6,1,0,0,1,1,1,1,1
0x49a09640,1235260992,audio,10,6,1,0,0,1,1,1,1,1
0x4a1ea052,1243521106,sprite,12,4,1,0,0,1,0,0,1,1
0x4a2ae046,1244323910,sprite,12,1,0,0,0,0,0,1,0,0
0x4a3ea110,1245618448,sprite,12,3,1,0,0,1,0,0,0,1
0x4a4ec094,1246675092,sprite,12,4,1,0,0,1,0,0,1,1
0x4a60ca40,1247857216,audio,10,8,1,1,1,1,1,1,1,1
0x4a7f0454,1249838164,sprite,14,1,0,0,0,0,1,0,0,0
0x4a806042,1249927234,audio,8,8,1,1,1,1,1,1,1,1
0x4aee0118,1257111832,sprite,12,6,1,1,1,1,0,0,1,1
0x4baf8200,1269793280,sprite,12,6,1,1,1,1,0,0,1,1
0x4c02d240,1275253312,audio,9,6,1,0,0,1,1,1,1,1
0x4c106054,1276141652,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x4c22d240,1277350464,audio,10,6,1,0,0,1,1,1,1,1
0x4c2a8850,1277855824,sprite,10,4,1,0,0,1,0,0,1,1
0x4c3ae101,1278927105,sprite,12,1,0,0,0,0,1,0,0,0
0x4c60f249,1281421897,audio,13,8,1,1,1,1,1,1,1,1
0x4c62d240,1281544768,audio,11,6,1,0,0,1,1,1,1,1
0x4ca2d240,1285739072,audio,11,6,1,0,0,1,1,1,1,1
0x4cddccd8,1289604312,audio,17,8,1,1,1,1,1,1,1,1
0x4d09d01c,1292488732,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x4e05b540,1308996928,anim,12,6,1,0,0,1,1,1,1,1
0x50008340,1342210880,audio,6,8,1,1,1,1,1,1,1,1
0x502141c3,1344356803,audio,10,8,1,1,1,1,1,1,1,1
0x502840c3,1344815299,audio,9,8,1,1,1,1,1,1,1,1
0x50408b61,1346407265,audio,10,8,1,1,1,1,1,1,1,1
0x5050c643,1347470915,audio,11,8,1,1,1,1,1,1,1,1
0x506e8654,1349420628,audio,13,8,1,1,1,1,1,1,1,1
0x507883c3,1350075331,audio,13,8,1,1,1,1,1,1,1,1
0x50f08207,1357939207,audio,11,8,1,1,1,1,1,1,1,1
0x5101c047,1359069255,audio,10,6,1,0,0,1,1,1,1,1
0x51200640,1361053248,audio,7,6,1,0,0,1,1,1,1,1
0x512061c1,1361076673,audio,10,8,1,1,1,1,1,1,1,1
0x512c8430,1361871920,sprite,10,6,1,1,1,1,0,0,1,1
0x518b11b2,1368068530,sprite|anim,13,6,1,0,0,1,1,1,1,1
0x51910816,1368459286,audio,10,8,1,1,1,1,1,1,1,1
0x52186e1c,1377332764,sprite|anim,13,6,1,0,0,1,1,1,1,1
0x522ae046,1378541638,sprite,12,1,0,0,0,0,0,1,0,0
0x5238cd10,1379454224,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x523ea110,1379836176,sprite,12,4,1,0,0,1,0,0,1,1
0x524ec094,1380892820,sprite,12,6,1,1,1,1,0,0,1,1
0x527f0454,1384055892,sprite,14,1,0,0,0,0,1,0,0,0
0x52a08394,1386251156,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x52a28ad3,1386384083,sprite,14,1,0,0,0,0,0,1,0,0
0x52ee0118,1391329560,sprite,12,6,1,1,1,1,0,0,1,1
